scenario,method,dataset,n_patients,fit_ok,KA,CL,V,omega2_cl,omega_cl_v,omega2_v,rho_cl_v,sigma2_prop,objective_value,message
scenario1,Centralized,ALL,100,TRUE,9.54890969342692,8.78423007173445,19.4402117870833,0.104907498512821,0.0639013320160262,0.0404443691692501,0.981019437420315,0.129015155840272,2221.08775116829,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario1,Local-Site1,Site1,40,TRUE,8.13612532742711,9.06182700460068,18.1801051579908,0.115376873719104,0.0763717970649976,0.0509077235796686,0.996510290268193,0.10556599120678,890.871676956333,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario1,Local-Site2,Site2,30,TRUE,205.331871208686,7.74522029818189,18.1144807988726,0.0359106849748973,0.000394330544904451,0.000837487183387642,0.0719050660588557,0.163941557797866,691.49179678734,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario1,Local-Site3,Site3,30,TRUE,193.814786072,8.5102890560884,18.3933818600904,0.0597736965620105,0.0182705301335283,0.0301508365777241,0.430374378208995,0.114743894834862,633.480722974318,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario1,Federated,ALL,,TRUE,9.63474836053453,8.76342508000991,19.3543583434257,0.10549531794,0.061241396937,0.035827319849,0.9961421925,0.12793515809963,2220.6286,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,Centralized,ALL,100,TRUE,9.54890969342692,8.78423007173445,19.4402117870833,0.104907498512821,0.0639013320160262,0.0404443691692501,0.981019437420315,0.129015155840272,2221.08775116829,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,Local-Site1,Site1,40,TRUE,6.06157085501641,8.51573771715268,17.270001572032,0.0933536152652125,0.0609559305213484,0.0949928554125614,0.647298981211128,0.0955604530090729,878.713588445378,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,Local-Site2,Site2,30,TRUE,12.8824456028758,8.87730335236704,18.3363737941641,0.0497142776510057,0.00130027551973713,0.00317060484734952,0.103567563622568,0.126605317471783,664.029989660343,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,Local-Site3,Site3,30,TRUE,11.2463213261586,9.13295590088075,21.5330453797612,0.102527432264095,0.048452684131953,0.023715661798225,0.982607729314468,0.123630604457054,675.939103548591,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,Federated,ALL,,TRUE,9.69294103562025,8.76360800176701,19.3553670995157,0.10571622944,0.061097207712,0.035451937762,0.99799999905,0.127888220786338,2220.5959,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
